Datum,Plats,Temp,Luftfuktighet
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:00,Ute,11.3,63
01/10/2016 00:01,Ute,11.3,63
01/10/2016 00:01,Inne,22.9,41
01/10/2016 00:02,Ute,11.3,63
01/10/2016 00:02,Inne,22.9,41
01/10/2016 00:03,Ute,11.3,63
01/10/2016 00:03,Inne,22.9,41
01/10/2016 00:04,Ute,11.3,63
424,Inne,22.9,41
01/10/2016 00:05,Ute,11.3,63
01/10/2016 00:05,Inne,22.9,41
01/10/2016 00:06,Ute,11.3,63
01/10/2016 00:06,Inne,22.9,41
01/10/2016 00:07,Ute,11.3,63
01/10/2016 00:07,Inne,22.9,41
01/10/2016 00:08,Ute,11.3,63
01/10/2016 00:08,Inne,22.9,41
01/10/2016 00:09,Ute,1,63
01/10/2016 00:09,Inne,22.9,41
01/10/2016 00:10,Ute,11.3,63
01/10/2016 00:10,Inne,22.9,41
01/10/2016 00:11,Ute,11.3,63
01/10/2016 00:11,Inne,22.9,41
01/10/2016 00:12,Ute,11.3,64
01/10/2016 00:12,Inne,22.9,41
01/10/2016 00:13,Ute,11.3,64
01/10/2016 00:13,Inne,22.9,41
01/10/2016 00:14,Ute,11.3,64
01/10/2016 00:14,Inne,22.9,41
01/10/2016 00:15,Ute,11.3,65
01/10/2016 00:15,Inne,22.9,41
01/10/2016 00:16,Ute,11.3,65
01/10/2016 00:16,Inne,22.9,41
01/10/2016 00:17,Ute,11.3,64
01/10/2016 00:17,Inne,22.9,41
01/10/2016 00:18,Ute,11.3,64
01/10/2016 00:18,Inne,22.9,41
01/10/2016 00:19,Ute,11.3,64
01/10/2016 00:19,Inne,22.9,41
01/10/2016 00:20,Ute,11.3,64
01/10/2016 00:20,Inne,22.9,41
01/10/2016 00:21,Ute,11.3,65
01/10/2016 00:21,Inne,22.9,41
01/10/2016 00:22,Ute,11.3,64
01/10/2016 00:22,Inne,22.9,41
01/10/2016 00:23,Ute,11.3,64
01/10/2016 00:23,Inne,22.9,41
01/10/2016 00:24,Ute,11.3,64
01/10/2016 00:24,Inne,22.9,41
01/10/2016 00:25,Ute,11.3,64
01/10/2016 00:25,Inne,22.9,41
01/10/2016 00:26,Ute,11.3,64
01/10/2016 00:26,Inne,23,41
01/10/2016 00:27,Ute,11.3,64
01/10/2016 00:27,Inne,22.9,41
01/10/2016 00:28,Ute,11.3,64
01/10/2016 00:28,Inne,22.9,41
01/10/2016 00:29,Ute,11.3,64
01/10/2016 00:29,Inne,22.9,41
01/10/2016 00:30,Ute,11.3,64
01/10/2016 00:30,Inne,22.9,41
01/10/2016 00:31,Ute,11.3,64
01/10/2016 00:31,Inne,22.9,41
01/10/2016 00:32,Ute,11.3,65
01/10/2016 00:32,Inne,22.9,41
01/10/2016 00:33,Ute,11.3,65
01/10/2016 00:33,Inne,22.9,41
01/10/2016 00:34,Ute,11.3,65
01/10/2016 00:34,Inne,22.9,41
01/10/2016 00:35,Ute,11.3,64
01/10/2016 00:35,Inne,22.9,41
01/10/2016 00:36,Ute,11.3,64
01/10/2016 00:36,Inne,22.9,41
01/10/2016 00:37,Ute,11.3,64
01/10/2016 00:37,Inne,22.9,41
01/10/2016 00:38,Ute,11.3,65
01/10/2016 00:38,Inne,22.9,41
01/10/2016 00:39,Ute,11.3,65
01/10/2016 00:39,Inne,22.9,41
01/10/2016 00:40,Ute,11.3,65
01/10/2016 00:40,Inne,22.9,41
01/10/2016 00:41,Ute,11.3,65
01/10/2016 00:41,Inne,22.9,41
01/10/2016 00:42,Ute,11.3,66
01/10/2016 00:42,Inne,22.9,41
01/10/2016 00:43,Ute,11.3,66
01/10/2016 00:43,Inne,22.9,41
01/10/2016 00:44,Ute,11.3,66
01/10/2016 00:44,Inne,22.9,41
01/10/2016 00:45,Ute,11.3,65
01/10/2016 00:45,Inne,22.9,41
01/10/2016 00:46,Ute,11.3,66
01/10/2016 00:46,Inne,22.9,41
01/10/2016 00:47,Ute,11.3,66
01/10/2016 00:47,Inne,22.9,41
01/10/2016 00:48,Ute,11.3,66
01/10/2016 00:48,Inne,22.9,41
01/10/2016 00:49,Ute,11.3,65
01/10/2016 00:49,Inne,22.9,41
01/10/2016 00:50,Ute,11.3,65
01/10/2016 00:50,Inne,22.9,41
01/10/2016 00:51,Ute,11.3,65
01/10/2016 00:51,Inne,22.9,41
01/10/2016 00:52,Ute,11.3,65
01/10/2016 00:52,Inne,22.9,41
01/10/2016 00:53,Ute,11.3,65
01/10/2016 00:53,Inne,22.9,41
01/10/2016 00:54,Ute,11.3,65
01/10/2016 00:54,Inne,22.9,41
01/10/2016 00:55,Ute,11.3,65
01/10/2016 00:55,Inne,22.9,41
01/10/2016 00:56,Ute,11.3,65
01/10/2016 00:56,Inne,22.9,41
01/10/2016 00:57,Ute,11.3,65
01/10/2016 00:57,Inne,22.9,41
01/10/2016 00:58,Ute,11.3,65
01/10/2016 00:58,Inne,22.9,41
01/10/2016 00:59,Ute,11.3,65
01/10/2016 00:59,Inne,22.9,41
01/10/2016 01:00,Ute,11.3,65
01/10/2016 01:00,Inne,22.9,41
01/10/2016 01:01,Ute,11.3,65
01/10/2016 01:01,Inne,22.9,41
01/10/2016 01:02,Ute,11.3,66
01/10/2016 01:02,Inne,22.9,41
01/10/2016 01:03,Ute,11.3,67
01/10/2016 01:03,Inne,22.9,41
01/10/2016 01:04,Ute,11.3,66
01/10/2016 01:04,Inne,22.9,41
01/10/2016 01:05,Ute,11.3,66
01/10/2016 01:05,Inne,22.9,41
01/10/2016 01:06,Ute,11.3,65
01/10/2016 01:06,Inne,22.9,41
01/10/2016 01:07,Ute,11.3,66
01/10/2016 01:07,Inne,22.9,41
01/10/2016 01:08,Ute,11.3,66
01/10/2016 01:08,Inne,22.9,41
01/10/2016 01:09,Ute,11.3,66
01/10/2016 01:09,Inne,22.9,41
01/10/2016 01:10,Ute,11.1,66
01/10/2016 01:10,Inne,22.9,41
01/10/2016 01:11,Ute,11.1,66
01/10/2016 01:11,Inne,22.9,41
01/10/2016 01:12,Ute,11.3,66
01/10/2016 01:12,Inne,22.9,41
01/10/2016 01:13,Ute,11.3,66
01/10/2016 01:13,Inne,22.9,41
01/10/2016 01:14,Ute,11.3,67
01/10/2016 01:14,Inne,22.9,41
01/10/2016 01:14,Ute,11.3,66
01/10/2016 01:15,Inne,22.9,41
01/10/2016 01:15,Ute,11.3,66
01/10/2016 01:16,Inne,22.9,41
01/10/2016 01:16,Ute,11.3,67
